formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Mg$_{65}$Cu$_{15}$Ag$_{10}$Y$_{2}$Gd$_{8}$,4.0633,,,683,K,0.67936,6.9632,0.679355783,9,mm,,,0.143612132,0.44537,0.1673,,,0.61493,1.7643,,,464,K,,,0.42067,,,,,44,420,K,1.7197,,0.74378
Zr$_{41.2}$Ti$_{13.8}$Cu$_{12.5}$Ni$_{10}$Be$_{22.5}$,3.9881,,,996,K,0.6747,,0.674698795,,,,,0.15747,0.43483,0.13137,1.4,K/s,0.6255,1.8016,,,672,K,,,0.41507,,,,,49,623,K,1.7042,,0.7239
Pr$_{72}$(CuNi)$_{25}$Al$_{3}$,,1.5,mm,743,K,,,0.541049798,,,,,0.27943195,,,,,0.493943472,,,,402,K,,,0.362162162,,,,,,367,K,,,
Pd$_{95}$Si$_{5}$,0.3863,,,1688,K,0.38329,,0.383293839,,,,,0.44582,0,0,5E7,K/s,0.38329,0.6215,,,647,K,,,0.27709,,,,,0,647,K,1.3833,,0.38329
Cu$_{52.5}$Hf$_{40}$Al$_{7.5}$,3.7317,,,1250,K,0.6664,5.977,0.6664,3,mm,,,0.167308014,0.42547,0.11465,,,0.6232,1.7686,,,833,K,,,0.41055,,,,,54,779,K,1.6925,,0.7096
Fe$_{68}$Co$_{4}$Y$_{6}$B$_{22}$,3.7686,,,1414,K,0.6655,5.6683,0.665487977,2,mm,,,0.176419738,0.4131,0.0869,,,0.6337,1.8166,,,941,K,,,0.4074,,,,,45,896,K,1.6839,,0.6973
Cu$_{47}$Ti$_{33}$Zr$_{9}$Nb$_{2}$Ni$_{8}$Si,3.5197,,,1159,K,0.65746,5.4411,0.65746333,5,mm,,,0.183786367,0.40529,0.07889,,,0.62813,1.768,,,762,K,,,0.40382,,,,,34,728,K,1.6748,,0.6868
Ni$_{65}$Zr$_{35}$,,,,1353,K,,,0.638,,,,,0.199569456,,,,,0.611,,,,863,K,,,0.396,,,,,36,827,K,,1.54,
Cu$_{47}$Ti$_{33}$Zr$_{11}$Ni$_{2}$Sn$_{6}$Si,,,,1181,K,,,,,,,,0.113943561,,,,,0.582403906,,,,809,K,,,0.432977825,,,,,121,688,K,,,
Cu$_{40}$Zr$_{40}$Ag$_{10}$Al$_{10}$,2.1047,,,1273,K,0.6009,4.7166,0.600942655,3,mm,,,0.212017131,0.3869,0.0977,,,0.5577,1.3588,,,765,K,,,0.3858,,,,,55,710,K,1.6352,,0.6442
Ca$_{62.5}$Mg$_{17.5}$Zn$_{20}$,2.9721,,,640,K,0.64375,5.8385,0.64375,10,mm,,,0.171276869,0.42074,0.13962,,,0.58594,1.5547,,,412,K,,,0.40591,,,,,37,375,K,1.6846,,0.70156
Ti$_{53}$Cu$_{15}$Ni$_{18.5}$Al$_{7}$Si$_{3}$Hf$_{3}$B$_{0.5}$,2.25,,,1230,K,0.60894,4.8585,0.608943089,2,mm,,,0.205824843,0.39211,0.10093,,,0.56504,1.4,,,749,K,,,0.38909,,,,,54,695,K,1.6427,,0.65285
Zr$_{57}$Nb$_{5}$Cu$_{15.4}$Ni$_{12.6}$Al$_{10}$,,,,1115,K,,,,,,,,,,,,,0.604,,,,,,,,,,,,,,674,K,,,
Ni$_{60}$Zr$_{20}$Ti$_{7.5}$Nb$_{7.5}$Al$_{5}$,2.917,,,1385,K,0.639,5.4044,0.63898917,2,mm,,,0.185034416,0.41,0.1087,,,0.595,1.5775,,,885,K,,,0.4006,,,,,61,824,K,1.669,,0.683
Al$_{23.5}$Co$_{23.5}$Zr$_{53}$,,,,1320,K,,,,,,,,0.177610985,,,,,0.59,,,,849,K,,,0.403708987,,,,,66,783,K,,,
Pr$_{60}$Fe$_{30}$Al$_{10}$,,,,950.1,K,,,,,,873.4,K,,,,,,0.605,,3,mm,,,,,,off eutectic,,,0.658,,575,K,,,
Ni$_{42}$Ti$_{19}$Zr$_{22.5}$Al$_{8}$Cu$_{5}$Si$_{3.5}$,2.4688,,,1363,K,0.62069,5.1537,0.620689655,3,mm,,,0.194035353,0.402,0.11321,,,0.57227,1.4511,,,846,K,,,0.39477,,,,,66,780,K,1.6569,,0.66911
Cu$_{42}$Zr$_{42}$Ag$_{8}$Al$_{8}$,2.933,,,1213,K,0.643,5.9275,0.6430338,12,mm,,,0.168705188,0.4219,0.1476,,,0.5812,1.5354,,,780,K,,,0.4067,,,,,75,705,K,1.6876,,0.7049
Sc$_{36}$Al$_{24}$Co$_{20}$Y$_{20}$,,3,mm,1048,K,,,0.72519084,,,,,0.174749271,,,,,0.631679389,,,,760,K,,,0.444444444,,,,,,662,K,,,
Cu$_{46.4}$Ag$_{11.6}$Zr$_{35}$Ti$_{7}$,3.3675,,,1119,K,0.65416,5.5838,0.654155496,6,mm,,,0.179089509,0.4141,0.1,,,0.61573,1.7023,,,732,K,,,0.40487,,,,,43,689,K,1.6781,,0.69258
Cu$_{48}$Zr$_{48}$Ag$_{4}$,2.4334,,,1199,K,0.6197,5.206,0.619683069,3,mm,,,0.192086055,0.4032,0.1197,,,0.568,1.4344,,,743,K,,,0.3952,,,,,62,681,K,1.659,,0.6714
Cu$_{45}$Zr$_{45}$Ag$_{10}$,3.1793,,,1159,K,0.6523,6.1784,0.652286454,6,mm,,,0.161854202,0.428,0.1534,,,0.5893,1.5882,,,756,K,,,0.4104,,,,,73,683,K,1.6962,,0.7153
Fe$_{75}$Mo$_{4}$P$_{10}$C$_{4}$B$_{4}$Si$_{3}$,3.2838,,,1227,K,0.65131,5.5217,0.651181744,4,mm,,,0.181103646,0.41236,0.099,,,0.613,1.683,,,799,K,,,0.40379,,,,,47,752,K,1.6755,,0.68963
Er$_{50}$Al$_{24}$Co$_{20}$Y$_{6}$,,8,mm,1079,K,,,0.65060241,,,,,0.131787543,,,,,0.603336423,,,,702,K,,,0.405780347,,,,,,651,K,,,
Ca$_{70}$Mg$_{10}$Zn$_{20}$,2.1999,,,657,K,0.60731,4.926,0.607305936,0.5,mm,,,0.203004466,0.39408,0.11034,,,0.5586,1.3759,,,399,K,,,0.38965,,,,,32,367,K,1.6458,,0.65601
Ti$_{50}$Cu$_{42.5}$Ni$_{7.5}$,1.7679,,,1226,K,0.57749,4.174,0.577487765,0.2,mm,,,0.239578342,0.36255,0.06835,,,0.54649,1.2734,,,708,K,,,0.37342,,,,,38,670,K,1.6032,,0.60848
Fe$_{61}$B$_{15}$Mo$_{7}$Zr$_{8}$Co$_{7}$Y$_{2}$,2.5196,,,1490,K,0.61503,4.318,0.615033557,5,mm,,,0.231588698,0.32642,0.02016,,,0.60711,1.5654,,,916.4,K,,,0.38269,,,,,11.8,904.6,K,1.6202,,0.62295
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{19.5}$,,,,1136,K,,,,,,,,,,,,,0.581,,,,,,,,,,,,,,660,K,,,
Ca$_{60}$Mg$_{20}$Cu$_{20}$,2.2534,,,678,K,0.60767,4.7046,0.607669617,4,mm,,,0.212557922,0.38578,0.08591,,,0.5708,1.4158,,,412,K,,,0.38685,,,,,25,387,K,1.6354,,0.64454
La$_{62.5}$Al$_{12.5}$Ag$_{5}$Cu$_{17.5}$Fe$_{2.5}$,2.9737,,,711,K,0.6526,7.5158,0.652601969,7,mm,,,0.133053035,0.4326,0.2281,,,0.5499,1.45,,,464,K,,,0.4211,,,,,73,391,K,1.7366,,0.7553
Zr$_{50}$Cu$_{38}$Al$_{12}$,,,,1170,K,,,,,,,,0.17,,,,,0.617,,,,774,K,,,0.409,,,,,52,722,K,,,
