formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Ag$_{25}$Cu$_{35}$Zr$_{40}$,,,,1220.177,K,,,,,,,,,,,,,0.56452735,,,,,,,,,,,,,,,,,,
Ca$_{65}$Mg$_{15}$Zn$_{20}$,3.1767,,,630,K,0.65079,,0.650793651,,,,,0.16837,0.42404,0.13725,20,K/s,0.59524,1.6078,,,410,K,,,0.40796,,,,,35,375,K,1.6886,,0.70635
Zr$_{48}$Cu$_{46}$Al$_{6}$,,,,1192,K,,,,,,,,0.183,,,,,0.592,,,,762,K,,,0.401,,,,,56,706,K,,,
Mg$_{65}$Cu$_{15}$Ag$_{10}$Er$_{10}$,2.7645,,,733,K,0.63438,5.4923,0.634379263,6,mm,,,0.182073084,0.41218,0.12418,,,0.58254,1.5196,,,465,K,,,0.40086,,,,,38,427,K,1.6715,,0.68622
Ni$_{59}$Zr$_{20}$Ti$_{16}$Si$_{2}$Sn$_{3}$,4.6148,,,1272,K,0.68947,6.5952,0.689465409,3,mm,,,0.151625425,0.43964,0.12417,,,0.64544,1.9446,,,877,K,,,0.41902,,,,,56,821,K,1.7136,,0.73349
La$_{55}$Al$_{25}$Ni$_{20}$,1.8289,,,941,K,0.5898,,0.589798087,,,,,0.19893,0.3899,0.14222,67.5,K/s,0.52179,1.2333,,,555,K,,,0.38757,,,,,64,491,K,1.6521,,0.65781
Fe$_{45}$Co$_{3}$Cr$_{15}$Mo$_{14}$C$_{15}$B$_{6}$Y$_{2}$,2.291,,,1446,K,0.60858,4.6265,0.60857538,8,mm,,,0.216146115,0.38111,0.07516,,,0.57676,1.4379,,,880,K,,,0.38596,,,,,46,834,K,1.6319,,0.64039
Hf$_{51}$Cu$_{27.75}$Ni$_{9.25}$Al$_{12}$,3.0413,,,1344,K,0.6488,6.3139,0.648809524,8,mm,,,0.158380716,0.4281,0.1676,,,0.5781,1.5379,,,872,K,,,0.4111,,,,,95,777,K,1.7004,,0.7195
(Fe$_{81.5}$Si$_{3.8}$C$_{14}$Tm$_{0.7}$)$_{90.9}$P$_{9.1}$,1.8114,,,1318,K,0.5819,4.3451,0.581942337,1,mm,,,0.2301443,0.3717,0.0832,,,0.544,1.2762,,,767,K,,,0.3769,,,,,50,717,K,1.6137,,0.6199
Y$_{36}$Sc$_{20}$Al$_{24}$Co$_{10}$Ni$_{10}$,6.0572,,,1010,K,0.72376,9.7185,0.723762376,25,mm,,,0.102896538,0.47875,0.23562,,,0.63861,2.0027,,,731,K,,,0.44169,,,,,86,645,K,1.7719,,0.80891
Ag$_{30}$Cu$_{30}$Zr$_{40}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.317297,K,,,
La$_{65}$Al$_{10}$Ag$_{5}$Cu$_{20}$,2.6146,,,716,K,0.6397,7.3387,0.639664804,5,mm,,,0.136263916,0.4232,0.2321,,,0.5307,1.3631,,,458,K,,,0.4179,,,,,78,380,K,1.736,,0.7486
Cu$_{60}$Hf$_{17.5}$Ti$_{22.5}$,2.4598,,,1229,K,0.61432,4.4847,0.614320586,3,mm,,,0.222980355,0.36313,0.04628,,,0.59561,1.5191,,,755,K,,,0.38501,,,,,23,732,K,1.627,,0.63303
Pt$_{60}$Cu$_{16}$Co$_{2}$P$_{22}$,,16,mm,881,K,,,0.645856981,,,,,0.106174229,,,,,0.574347333,,,,569,K,,,0.410237924,,,,,,506,K,,,
Zr$_{26}$Ti$_{10}$Cu$_{8}$Ni$_{8}$Be$_{20}$Y$_{4}$Mg$_{24}$,7.2221,,,951,K,0.73607,8.5779,0.736067298,5,mm,,,0.11657865,0.47363,0.16611,,,0.68349,2.3256,,,700,K,,,0.43723,,,,,50,650,K,1.7604,,0.78864
Al$_{86.5}$Co$_{4.5}$Y$_{9}$,,,,1231,K,,,,,,,,0.352300148,,,,,0.44,,,,563,K,,,0.317361894,,,,,20,543,K,,,
Ti$_{40}$Zr$_{10}$Cu$_{32}$Pd$_{18}$,1.7858,,,1272,K,0.58176,4.4593,0.581761006,3,mm,,,0.224250443,0.37645,0.09677,,,0.53695,1.2564,,,740,K,,,0.37852,,,,,57,683,K,1.6204,,0.62657
Ni$_{60}$Nb$_{30}$Zr$_{10}$,3.0225,,,1413,K,0.63836,4.8731,0.638358103,2,mm,,,0.205208184,0.37657,0.05019,,,0.61925,1.6766,,,902,K,,,0.39423,,,,,27,875,K,1.6501,,0.65747
Ag$_{20}$Cu$_{30}$Zr$_{50}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.97684,K,,,
Ca$_{55}$Mg$_{15}$Zn$_{30}$,2.1133,,,696,K,0.60201,4.7859,0.602011494,0.5,mm,,,0.208947115,0.38931,0.10356,,,0.55603,1.356,,,419,K,,,0.38689,,,,,32,387,K,1.6387,,0.64799
Ca$_{65}$Zn$_{35}$,,,,687,K,,,0.592,,,,,0.232725629,,,,,0.566,,,,407,K,,,0.378,,,,,18,389,K,,0.697,
Cu$_{47}$Ti$_{33}$Zr$_{7}$Nb$_{4}$Ni$_{8}$Si,2.7605,,,1172,K,0.62799,4.7114,0.627986348,5,mm,,,0.212251136,0.3723,0.05011,,,0.60836,1.6035,,,736,K,,,0.39045,,,,,23,713,K,1.6406,,0.64761
Cu$_{47}$Zr$_{43}$Al$_{7}$Ag$_{3}$,4.3678,,,1156,K,0.68772,7.3707,0.687716263,5,mm,,,0.135672324,0.45192,0.17955,,,0.61938,1.8068,,,795,K,,,0.42468,,,,,79,716,K,1.7297,,0.75606
La$_{55}$Al$_{25}$Ag$_{5}$Cu$_{15}$,1.7839,,,860,K,0.5849,4.7714,0.584883721,3,mm,,,0.209582093,0.3847,0.125,,,0.5256,1.2328,,,503,K,,,0.3834,,,,,51,452,K,1.6384,,0.6442
Fe$_{48}$Cr$_{15}$Mo$_{14}$Er$_{2}$C$_{15}$B$_{6}$,2.3184,,,1446,K,0.60858,4.5051,0.60857538,8,mm,,,0.221970655,0.37176,0.0598,,,0.58368,1.4618,,,880,K,,,0.38428,,,,,36,844,K,1.6263,,0.63347
Cu$_{47}$Ti$_{33}$Zr$_{11}$Ni$_{4}$Sn$_{4}$Si,,,,1108,K,,,,,,,,0.074885319,,,,,0.607733948,,,,810,K,,,0.454937139,,,,,137,673,K,,,
Zr$_{48}$Nb$_{8}$Cu$_{14}$Ni$_{12}$Be$_{18}$,3.9218,,,1072,K,0.67537,6.8111,0.675373134,8,mm,,,0.146819163,0.44253,0.16346,,,0.61194,1.7404,,,724,K,,,0.41898,,,,,68,656,K,1.7156,,0.73881
Fe$_{66}$Co$_{6}$Y$_{6}$B$_{22}$,2.4057,,,1509,K,0.613,4.5763,0.612988734,2,mm,,,0.218517143,0.3746,0.0611,,,0.5878,1.4871,,,925,K,,,0.3861,,,,,38,887,K,1.6306,,0.6382
Ni$_{59}$Zr$_{20}$Ti$_{16}$Sn$_{5}$,3.7133,,,1288,K,0.66304,5.5064,0.663043478,1,mm,,,0.181606857,0.40511,0.07463,,,0.63587,1.8209,,,854,K,,,0.40532,,,,,35,819,K,1.6786,,0.69022
Al$_{35}$Ca$_{65}$,,,,818,K,,,0.715,,,,,0.147041968,,,,,0.688,,,,585,K,,,0.424,,,,,22,563,K,,0.701,
Fe$_{62}$Co$_{10}$Y$_{6}$B$_{22}$,2.5298,,,1503,K,0.6201,4.7993,0.620093147,2.5,mm,,,0.20836372,0.387,0.0761,,,0.5888,1.5081,,,932,K,,,0.3903,,,,,47,885,K,1.6419,,0.6514
Fe$_{63}$C$_{15}$Mo$_{14}$Er$_{2}$B$_{6}$,2.0479,,,1389,K,0.59755,4.6506,0.597552196,3,mm,,,0.215026018,0.38436,0.09547,,,0.55508,1.343,,,830,K,,,0.38426,,,,,59,771,K,1.6316,,0.64003
Fe$_{80}$P$_{13}$C$_{7}$,,,,1258,K,,,,,,,,,,,,,0.585,,,,,,,,,,,,,,736,K,,,
Zr$_{39.88}$Ti$_{15.12}$Ni$_{9.98}$Cu$_{13.77}$Be$_{21.25}$,4.2138,,,1006,K,0.68191,,0.681908549,,,,,0.14749,0.44354,0.15119,1.4,K/s,0.62525,1.8196,,,686,K,,,0.41957,,,,,57,629,K,1.7159,,0.73857
Zr$_{60}$Cu$_{40}$Al$_{10}$,,,,1123,K,,,,,,,,,,,,,0.619,,,,,,,,,,,,,,706,K,,,
Pd$_{71.5}$Cu$_{12}$Si$_{16.5}$,1.9733,,,1154,K,0.58925,4.2232,0.589254766,2,mm,,,0.23678727,0.3602,0.05578,,,0.56499,1.3546,,,680,K,,,0.37652,,,,,28,652,K,1.6079,,0.61352
Ti$_{50}$Zr$_{15}$Cu$_{9}$Ni$_{8}$Be$_{18}$,3.4197,,,1009,K,0.6561,5.6544,0.656095144,6,mm,,,0.176853424,0.41637,0.10336,,,0.61645,1.7106,,,662,K,,,0.40589,,,,,40,622,K,1.6808,,0.69574
Zr$_{45}$Cu$_{47}$Al$_{8}$,,,,1195,K,,,,,,,,0.17,,,,,0.604,,,,782,K,,,0.408,,,,,60,722,K,,,
Zr$_{50}$Cu$_{38}$Ag$_{12}$,2.3714,,,1187,K,0.6184,5.3616,0.618365628,4,mm,,,0.186511489,0.4058,0.1355,,,0.5586,1.4008,,,734,K,,,0.3968,,,,,71,663,K,1.6656,,0.6782
Mg$_{57}$Cu$_{31.5}$Y$_{9.2}$Nd$_{2.3}$,2.8411,,,777,K,0.64607,7.0315,0.646074646,10,mm,,,0.142217166,0.42857,0.21203,,,0.55084,1.4384,,,502,K,,,0.4166,,,,,74,428,K,1.7237,,0.74131
(Cu$_{0.6}$Hf$_{0.25}$Ti$_{0.15}$)$_{92}$Nb$_{8}$,3.3871,,,1198,K,0.65359,5.4167,0.653589316,2.5,mm,,,0.184614249,0.40634,0.08389,,,0.62187,1.7285,,,783,K,,,0.40299,,,,,38,745,K,1.6729,,0.68531
Sr$_{75}$Zn$_{25}$,,,,738,K,,,,,,,,,,,,,0.515,,,,,,,,,,,,,,380,K,,0.66,
Ni$_{42}$Ti$_{20}$Zr$_{25}$Al$_{8}$Cu$_{5}$,1.895,,,1366,K,0.58785,4.4674,0.587847731,0.5,mm,,,0.223843847,0.37701,0.089,,,0.54758,1.2994,,,803,K,,,0.37985,,,,,55,748,K,1.6211,,0.62811
Mg$_{65}$Cu$_{25}$Y$_{10}$,2.3716,,,760,K,0.62237,,0.622368421,,,,,0.16897,0.41241,0.17291,50,K/s,0.54342,1.3631,,,473,K,,,0.40324,,,,,60,413,K,1.6887,,0.70132
Zr$_{53}$Al$_{14}$Ni$_{10}$Cu$_{19}$Y$_{4}$,5.5734,,,1069,K,0.71656,9.7162,0.71655753,5,mm,,,0.102920895,0.4749,0.24439,,,0.62488,1.9102,,,766,K,,,0.44099,,,,,98,668,K,1.7716,,0.80823
Ca$_{70}$Mg$_{10}$Cu$_{20}$,1.6734,,,713,K,0.57083,4.0871,0.570827489,1,mm,,,0.244672262,0.35861,0.06707,,,0.53997,1.2409,,,407,K,,,0.37067,,,,,22,385,K,1.5971,,0.60168
Cu$_{46}$Zr$_{46}$Ag$_{8}$,2.8322,,,1167,K,0.6384,5.7323,0.638389032,4,mm,,,0.174450046,0.4176,0.1388,,,0.5801,1.5204,,,745,K,,,0.404,,,,,68,677,K,1.6806,,0.6967
Ca$_{50}$Mg$_{15}$Zn$_{10}$Cu$_{25}$,2.8794,,,678,K,0.64012,5.7509,0.640117994,10,mm,,,0.173885827,0.41839,0.13781,,,0.5826,1.5336,,,434,K,,,0.40447,,,,,39,395,K,1.6813,,0.69764
Cu$_{47}$Ti$_{33}$Zr$_{3}$Nb$_{8}$Ni$_{8}$Si,2.0953,,,1228,K,0.59528,4.2171,0.595276873,1,mm,,,0.237129781,0.35319,0.04423,,,0.57655,1.4058,,,731,K,,,0.37758,,,,,23,708,K,1.609,,0.61401
Zr$_{46.75}$Ti$_{8.25}$Cu$_{8.25}$Ni$_{10}$Be$_{275}$,,,,1050,K,,,,,,,,,,,,,0.567,,,,,,,,,,,,,,595,K,,,
Ca$_{55}$Mg$_{25}$Cu$_{20}$,2.9574,,,668,K,0.64072,5.4588,0.640718563,8,mm,,,0.183190445,0.41167,0.11111,,,0.59581,1.5852,,,428,K,,,0.4015,,,,,30,398,K,1.6712,,0.68563
Au$_{49}$Ag$_{5.5}$Pd$_{2.3}$Cu$_{26.9}$Si$_{16.3}$,,5,mm,644,K,,,0.712732919,,,,,0.21400541,,,,,0.622670807,,,,459,K,,,0.43923445,,,,,,401,K,,,
Zr$_{64.8}$Al$_{8.3}$Ni$_{11.4}$Cu$_{15.5}$,,,,1143,K,,,,,,,,0.141179572,,,,,0.572,,,,752,K,,,0.418708241,,,,,99,653,K,,,
Mg$_{65}$Cu$_{7.5}$Ni$_{7.5}$Ag$_{5}$Zn$_{5}$Gd$_{5}$Y$_{5}$,3.385,,,718,K,0.65738,6.0234,0.657381616,14,mm,,,0.166019192,0.42669,0.1338,,,0.60446,1.662,,,472,K,,,0.40972,,,,,38,434,K,1.692,,0.71031
La$_{55}$Al$_{25}$Cu$_{20}$,1.4037,,,896,K,0.55246,,0.552455357,,,,,0.24666,0.35805,0.08864,72.3,K/s,0.50893,1.125,,,495,K,,,0.36612,,,,,39,456,K,1.5945,,0.59598
La$_{55}$Al$_{25}$Ni$_{10}$Cu$_{10}$,3.0878,,,835,K,0.65533,,0.655329341,,,,,0.13641,0.43473,0.21708,22.5,K/s,0.55976,1.4886,,,547.2,K,,,0.42015,,,,,79.8,467.4,K,1.7305,,0.7509
Ca$_{60}$Mg$_{17.5}$Zn$_{22.5}$,3.0748,,,650,K,0.64769,5.945,0.647692308,10,mm,,,0.168208579,0.42345,0.14232,,,0.58923,1.5768,,,421,K,,,0.40755,,,,,38,383,K,1.6884,,0.70615
La$_{62}$Al$_{14}$Cu$_{16}$Ag$_{8}$,2.2789,,,744,K,0.61559,5.5116,0.615591398,5,mm,,,0.181435518,0.40647,0.15134,,,0.54704,1.3591,,,458,K,,,0.39791,,,,,51,407,K,1.6724,,0.68414
La$_{62}$Al$_{14}$(Cu$_{.833}$Ag$_{.167}$)$_{16}$(Ni$_{.15}$Co$_{.15}$)$_{8}$,3.7097,,,708,K,0.67373,7.6377,0.673728814,16,mm,,,0.130929468,0.44663,0.2116,,,0.58616,1.628,,,477,K,,,0.42476,,,,,62,415,K,1.7356,,0.7613
Ni$_{42}$Ti$_{20}$Zr$_{22.5}$Al$_{8}$Cu$_{5}$Si$_{2.5}$,2.2406,,,1367,K,0.60936,4.9522,0.60936357,2,mm,,,0.201930455,0.39509,0.11,,,0.56108,1.3883,,,833,K,,,0.39035,,,,,66,767,K,1.6471,,0.65764
Mg$_{70}$Ni$_{15}$Nd$_{15}$,1.812,,,844,K,0.57938,,0.579383886,,,,,0.24258,0.35746,0.05836,178.2,K/s,0.55332,1.2971,,,489,K,,,0.373,,,,,22,467,K,1.6004,,0.60545
Cu$_{44}$Zr$_{44}$Ag$_{6}$Al$_{6}$,4.4002,,,1144,K,0.6906,7.9572,0.690559441,10,mm,,,0.125672347,0.4567,0.2063,,,0.6101,1.7713,,,790,K,,,0.4289,,,,,92,698,K,1.7419,,0.771
Zr$_{55}$Cu$_{35}$Al$_{10}$,,,,1144,K,,,,,,,,0.146,,,,,0.601,,,,767,K,,,0.419,,,,,79,688,K,,,
Cu$_{54}$Zr$_{36}$Ag$_{10}$,3.6438,,,1146,K,0.6623,5.6736,0.662303665,6,mm,,,0.176254935,0.4151,0.0937,,,0.6274,1.7775,,,759,K,,,0.407,,,,,40,719,K,1.683,,0.6972
Ni$_{60}$Nb$_{30}$Ta$_{10}$,2.51,,,1559,K,0.61642,4.4922,0.616420783,2,mm,,,0.222608076,0.36093,0.0432,,,0.5991,1.5376,,,961,K,,,0.38548,,,,,27,934,K,1.628,,0.63374
((Fe$_{0.8}$Co$_{0.2}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,2.4058,,,1431,K,0.61495,4.7848,0.614954577,2.5,mm,,,0.208995151,0.38812,0.08319,,,0.58001,1.4642,,,880,K,,,0.38921,,,,,50,830,K,1.6403,,0.6499
Ag$_{10}$Cu$_{35}$Zr$_{55}$,,,,1210.869,K,,,,,,,,0.188709549,,,,,0.534391278,,,,730.9455,K,,,0.393415876,,,,,83.8679211,647.0776,K,,,
Zr$_{49}$Cu$_{44}$Al$_{7}$,,,,1184,K,,,,,,,,0.176,,,,,0.595,,,,764,K,,,0.405,,,,,60,704,K,,,
Fe$_{70}$Ni$_{2}$Y$_{6}$B$_{22}$,2.3867,,,1509,K,0.613,4.6589,0.612988734,2,mm,,,0.214642941,0.3812,0.0715,,,0.5832,1.4706,,,925,K,,,0.3872,,,,,45,880,K,1.6343,,0.6428
Pd$_{75}$Si$_{25}$,0.9118,,,1343,K,0.48846,,0.488458675,,,,,0.34367,0,0,1E6,K/s,0.48846,0.9549,,,656,K,,,0.32816,,,,,0,656,K,1.4885,,0.48846
Al$_{19.4}$Co$_{24.8}$Zr$_{55.8}$,,,,1302,K,,,,,,,,0.184241384,,,,,0.577,,,,820,K,,,0.39941549,,,,,69,751,K,,,
Zr$_{48}$Cu$_{40}$Al$_{7}$Ag$_{5}$,4.3383,,,1121,K,0.68599,7.1002,0.685994648,10,mm,,,0.140841103,0.4487,0.16588,,,0.62355,1.8223,,,769,K,,,0.42253,,,,,70,699,K,1.7237,,0.74844
Al$_{22}$Co$_{24}$Zr$_{54}$,,,,1316,K,,,,,,,,0.173987883,,,,,0.584,,,,843,K,,,0.404510557,,,,,75,768,K,,,
Mg$_{61}$Cu$_{29}$Gd$_{10}$,2.5351,,,762,K,0.62992,6.0849,0.62992126,4,mm,,,0.164341238,0.4173,0.17544,,,0.55118,1.4035,,,480,K,,,0.40609,,,,,60,420,K,1.694,,0.70866
Fe$_{78}$MoP$_{10}$C$_{4}$B$_{4}$Si$_{3}$,2.4266,,,1268,K,0.61496,4.6924,0.615141956,1.5,mm,,,0.213110562,0.38247,0.07219,,,0.585,1.4818,,,780,K,,,0.38799,,,,,38,742,K,1.6362,,0.64492
Cu$_{46}$Zr$_{42}$Al$_{7}$Y$_{5}$,4.4615,,,1113,K,0.69362,8.5088,0.693620845,10,mm,,,0.117525385,0.45979,0.22676,,,0.60377,1.7506,,,772,K,,,0.43249,,,,,100,672,K,1.7526,,0.78347
Ca$_{60}$Mg$_{15}$Cu$_{25}$,2.5266,,,687,K,0.623,5.1565,0.622998544,1,mm,,,0.193929991,0.40226,0.10997,,,0.57642,1.4708,,,428,K,,,0.3952,,,,,32,396,K,1.6572,,0.66958
Mg$_{60.5}$Cu$_{28.5}$Gd$_{11}$,2.8275,,,755,K,0.64238,6.4123,0.642384106,8,mm,,,0.155950283,0.42546,0.18182,,,0.56291,1.4697,,,485,K,,,0.41102,,,,,60,425,K,1.7041,,0.72185
Ca$_{65}$Mg$_{5}$Cu$_{30}$,1.5409,,,757,K,0.56011,3.9117,0.56010568,0.5,mm,,,0.255643326,0.34892,0.05932,,,0.53236,1.1977,,,424,K,,,0.36552,,,,,21,403,K,1.5845,,0.58785
Cu$_{55}$Ni$_{5}$Zr$_{30}$Ti$_{10}$,2.609,,,1204,K,0.62292,4.773,0.622923588,2,mm,,,0.209511837,0.38344,0.06776,,,0.59551,1.54,,,750,K,,,0.39042,,,,,33,717,K,1.6415,,0.65033
Tb$_{36}$Al$_{24}$Co$_{20}$Y$_{20}$,,5,mm,1021,K,,,0.850146915,,,,,0.18594699,,,,,0.606268364,,,,868,K,,,0.529268293,,,,,,619,K,,,
Y$_{56}$Al$_{24}$Co$_{20}$,2.915,,,1078,K,0.64007,5.5675,0.640074212,1.5,mm,,,0.17961383,0.41464,0.12217,,,0.58998,1.5611,,,690,K,,,0.40257,,,,,54,636,K,1.6749,,0.69017
Mg$_{59}$Cu$_{31}$Gd$_{10}$,2.4811,,,769,K,0.62679,5.9222,0.626788036,4,mm,,,0.168856168,0.41486,0.16812,,,0.55137,1.3971,,,482,K,,,0.40402,,,,,58,424,K,1.6882,,0.70221
Cu$_{42}$Zr$_{42}$Ag$_{16}$,2.2983,,,1232,K,0.6145,5.2568,0.614448052,2,mm,,,0.190229798,0.4029,0.1316,,,0.556,1.3839,,,757,K,,,0.3949,,,,,72,685,K,1.6611,,0.6729
Al$_{28.5}$Ca$_{56.5}$Mg$_{15}$,,,,,,,,,,,,,,,,,,,,,,528,K,,,,,,,,,503,K,,,
Ag$_{35}$Ca$_{65}$,,,,868,K,,,0.503,,,,,0.343035386,,,,,0.515,,,,437,K,,,0.332,,,,,22,447,K,,0.716,
Cu$_{46}$Zr$_{46}$Al$_{8}$,,,,1155,K,,,,,,,,0.14,,,,,0.61,,,,783,K,,,0.422,,,,,82,701,K,,,
Ag$_{20}$Cu$_{40}$Zr$_{40}$,,,,1209.079,K,,,,,,,,,,,,,,,,,,,,,,,,,,,75.76047,K,,,
Zr$_{66}$Al$_{9}$Cu$_{16}$Ni$_{9}$,2.5716,,,1170.6,K,0.62934,,0.629335384,,,,,0.17297,0.41506,0.15485,4.1,K/s,0.56142,1.4349,,,736.7,K,,,0.40305,,,,,79.5,657.2,K,1.6824,,0.69725
Ti$_{50}$Ni$_{15}$Cu$_{25}$Sn$_{3}$Be$_{7}$,2.2446,,,1207,K,0.60729,4.7062,0.607290804,2,mm,,,0.212485657,0.38594,0.08671,,,0.57001,1.4123,,,733,K,,,0.38681,,,,,45,688,K,1.6354,,0.64457
Ca$_{65}$Mg$_{20}$Cu$_{15}$,2.0823,,,679,K,0.59647,4.382,0.59646539,2,mm,,,0.228206298,0.36957,0.06485,,,0.56848,1.3823,,,405,K,,,0.38028,,,,,19,386,K,1.6177,,0.62445
(Fe$_{0.75}$B$_{0.15}$Si$_{0.10}$)$_{96}$Nb$_{4}$,3.1565,,,1369,K,0.64653,5.3839,0.646457268,1.5,mm,,,0.185738962,0.40783,0.09366,,,0.61,1.6578,,,885,K,,,0.40157,,,,,50,835,K,1.6699,,0.68305
Mg$_{65}$Cu$_{15}$Ag$_{10}$Y$_{4}$Gd$_{6}$,4.2836,,,682,K,0.68475,7.0824,0.684750733,8,mm,,,0.141195075,0.44818,0.16667,,,0.6217,1.8101,,,467,K,,,0.42224,,,,,43,424,K,1.7231,,0.7478
Zr$_{44}$Ti$_{11}$Cu$_{10}$Ni$_{10}$Be$_{25}$,2.1178,,,1206,K,0.61277,,0.612769486,,,,,0.16305,0.40631,0.19621,12.5,K/s,0.51824,1.2719,,,739,K,,,0.4036,,,,,114,625,K,1.7006,,0.7073
Pd$_{40}$Cu$_{30}$Ni$_{10}$P$_{20}$,10.068,,,856,K,0.77103,,0.771028037,,,,,0.07512,0.50923,0.27407,0.1,K/s,0.68458,2.4444,,,660,K,,,0.4577,,,,,74,586,K,1.8109,,0.85748
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}96Cr4,1.976,,,1481,K,0.5901,4.2896,0.590141796,3,mm,,,0.233121969,0.3657,0.0633,,,0.5625,1.3488,,,874,K,,,0.3777,,,,,41,833,K,1.6117,,0.6178
Ni$_{60}$Nb$_{35}$Zr$_{5}$,2.7006,,,1458,K,0.62483,4.6051,0.624828532,1.5,mm,,,0.21715055,0.36306,0.04203,,,0.60837,1.5954,,,911,K,,,0.38849,,,,,24,887,K,1.6354,,0.64129
Au$_{55}$Cu$_{25}$Si$_{20}$,,0.5,mm,654,K,,,0.585626911,,,,,,,,,,0.532110092,,,,383,K,,,0.382235529,,,,,,348,K,,,
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{14.5}$B$_{5}$,,,,1214,K,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,668,K,,,
"Fe$_{76}$Mo$_{4}$(P$_{0.45}$,C$_{0.2}$,B$_{0.2}$,Si$_{0.15}$)$_{20}$",2.8072,,,1245,K,0.6329,5.1008,0.632931727,4,mm,,,0.196047679,0.3988,0.0878,,,0.5976,1.5729,,,788,K,,,0.3962,,,,,44,744,K,1.6567,,0.6683
((Ni$_{0.7}$Fe$_{0.3}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,1.8945,,,1356,K,0.58628,4.3263,0.586283186,2.5,mm,,,0.231144396,0.36989,0.07426,,,0.553,1.3119,,,795,K,,,0.37749,,,,,45,750,K,1.6131,,0.61947
Cu$_{52.5}$Zr$_{42.5}$Al$_{5}$,,,,1162.295,K,,,,,,,,,,,,,0.61,,,,,,,,,,,,,71,709,K,,,
Fe$_{76}$Mo$_{3}$P$_{10}$C$_{4}$B$_{4}$Si$_{3}$,2.8478,,,1250,K,0.6344,5.1079,0.6344,3.5,mm,,,0.195775172,0.39866,0.086,,,0.6,1.586,,,793,K,,,0.3965,,,,,43,750,K,1.6573,,0.6688
Zr$_{47}$Cu$_{49}$Al$_{4}$,,,,1204,K,,,,,,,,0.201,,,,,0.585,,,,750,K,,,0.393,,,,,46,704,K,,,
Al$_{35}$Sr$_{65}$,,,,993,K,,,,,,,,,,,,,0.493,,,,,,,,,,,,,,490,K,,0.665,
((Co$_{0.7}$Fe$_{0.3}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,2.1705,,,1430,K,0.6014,4.4524,0.601398601,3.5,mm,,,0.22459797,0.3723,0.06557,,,0.573,1.4098,,,860,K,,,0.38222,,,,,40,820,K,1.6222,,0.62937
Pd$_{16}$Ni$_{64}$P$_{20}$,,,,1048,K,,,,,,,,,,,,,0.541,,,,,,,,,,,,,,567,K,,,
Zr$_{63.8}$Al$_{11.4}$Ni$_{17.2}$Cu$_{7.6}$,,,,1153,K,,,,,,,,0.14947866,,,,,0.582,,,,758,K,,,0.415570175,,,,,87,671,K,,,
Cu$_{45}$Ni$_{5}$Ag$_{10}$Zr$_{30}$Ti$_{10}$,2.9423,,,1160,K,0.63621,4.9334,0.636206897,5,mm,,,0.202699964,0.38549,0.06222,,,0.61207,1.64,,,738,K,,,0.39465,,,,,28,710,K,1.6515,,0.66034
(Fe$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,2.0756,,,1475,K,0.59661,4.4263,0.596610169,1.5,mm,,,0.225922328,0.37282,0.07031,,,0.5661,1.375,,,880,K,,,0.38095,,,,,45,835,K,1.62,,0.62712
Ti$_{50}$Ni$_{15}$Cu$_{32}$Sn$_{3}$,,,,1283,K,,,,,,,,,,,,,0.53,,,,,,,,,,,,,73,686,K,,,
Fe$_{76}$Mo$_{2}$Ga$_{2}$P$_{10}$C$_{4}$B$_{4}$Si$_{2}$,2.7473,,,1247,K,0.63168,5.2118,0.6319166,2,mm,,,0.19187229,0.4039,0.10167,,,0.59,1.5407,,,788,K,,,0.39729,,,,,52,736,K,1.6607,,0.67337
Mg$_{65}$Zr$_{35}$,,,,616,K,,,0.615,,,,,0.210819295,,,,,0.583,,,,379,K,,,0.389,,,,,20,359,K,,0.875,
Cu$_{45}$Zr$_{55}$,,,,1203,K,,,0.606,,,,,0.197494069,,,,,0.549,,,,729,K,,,0.391,,,,,68,661,K,,0.797,
Fe$_{64}$Co$_{8}$Y$_{6}$B$_{22}$,2.4529,,,1505,K,0.616,4.6826,0.615946844,2.5,mm,,,0.213556571,0.3812,0.0692,,,0.5874,1.4928,,,927,K,,,0.388,,,,,43,884,K,1.636,,0.6445
